category,row_type,scope,source_table_page,cpsc_avg_2020_2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,avg_2018_2022,avg_2020_2022_computed
Total,total,total,11,238,137,146,164,172,178,188,209,254,223,216,274,235.2,237.667
Heating Systems,top_level,out_of_scope,11,68,46,43,64,37,50,41,63,73,63,66,76,68.2,68.333
Charcoal/Charcoal Grills,top_level,out_of_scope,11,14,6,11,7,11,7,10,10,14,15,9,18,13.2,14.0
Engine-Driven Tools,top_level,out_of_scope,12,110,64,68,62,92,80,104,99,119,106,116,107,109.4,109.667
Ranges or Ovens,top_level,out_of_scope,12,10,4,10,0,5,7,12,9,3,3,11,16,8.4,10.0
Water Heaters,top_level,in_scope,12,5,5,2,5,9,6,4,5,18,3,4,9,7.8,5.333
Pool Heaters,top_level,out_of_scope,12,1,0,3,2,0,2,4,0,0,4,0,0,0.8,1.333
Lanterns,top_level,out_of_scope,12,0,2,0,5,5,1,0,0,0,0,0,0,0.0,0.0
"Grills, Camp Stoves",top_level,out_of_scope,12,8,0,1,6,4,3,6,4,4,12,1,11,6.4,8.0
Multiple Products,top_level,out_of_scope,13,18,5,5,7,9,19,6,12,16,14,7,33,16.4,18.0
Furnaces (incl. Boilers),subrow,in_scope,11,23,27,21,24,20,34,17,27,22,23,26,20,23.6,23.0
Wall/Floor Furnaces,subrow,borderline_excluded,11,2,0,0,5,1,1,2,1,5,1,4,1,2.4,2.0
Portable Heaters,subrow,out_of_scope,11,31,11,12,18,11,11,19,24,25,33,26,34,28.4,31.0
Room/Space Heaters,subrow,out_of_scope,11,4,5,9,8,1,1,1,6,10,1,3,9,5.8,4.333
Unspecified Heater/System,subrow,out_of_scope,11,8,2,1,9,3,3,1,5,10,4,8,12,7.8,8.0
